shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
88177,46.46127,30.71352,371,
88177,46.46133,30.71352,373,
88177,46.46163,30.71352,375,
88177,46.46206,30.71355,377,
88177,46.46253,30.71355,379,
88177,46.4626,30.71363,381,
88177,46.46262,30.71368,383,
88177,46.46273,30.71385,385,
88177,46.46278,30.71394,387,
88177,46.46276,30.71397,389,
88177,46.46276,30.71397,391,
88177,46.462762,30.713968,393,
88177,46.46276,30.71397,398,
88177,46.46276,30.71397,400,
88177,46.46278,30.71394,402,
88177,46.46283,30.71402,404,
88177,46.46296,30.71423,406,
88177,46.46326,30.71473,408,
88177,46.46361,30.71526,410,
88177,46.46397,30.71586,412,
88177,46.46419,30.71621,414,
88177,46.46453,30.71676,416,
88177,46.46459,30.71685,418,
88177,46.46498,30.71752,420,
88177,46.46513,30.71773,422,
88177,46.46528,30.71799,424,
88177,46.46539,30.71816,426,
88177,46.46537,30.71819,428,
88177,46.46537,30.71819,430,
88177,46.465368,30.718192,432,
88177,46.46537,30.71819,437,
88177,46.46537,30.71819,439,
88177,46.46539,30.71816,441,
88177,46.46549,30.71833,443,
88177,46.46573,30.71872,445,
88177,46.46588,30.71895,447,
88177,46.46597,30.71908,449,
88177,46.46614,30.71934,451,
88177,46.46635,30.71966,453,
88177,46.46661,30.72007,455,
88177,46.46691,30.72054,457,
88177,46.46695,30.72061,459,
88177,46.46719,30.72099,461,
88177,46.46743,30.72138,463,
88177,46.46803,30.72237,465,
88177,46.46855,30.72327,467,
88177,46.4685,30.72333,469,
88177,46.4685,30.72333,471,
88177,46.468501,30.723332,473,
88177,46.4685,30.72333,478,
88177,46.4685,30.72333,480,
88177,46.46855,30.72327,482,
88177,46.46856,30.72329,484,
88177,46.46871,30.72355,486,
88177,46.46927,30.72443,488,
88177,46.46955,30.72488,490,
88177,46.46957,30.7249,492,
88177,46.46966,30.72507,494,
88177,46.46983,30.72535,496,
88177,46.47002,30.72567,498,
88177,46.47058,30.72662,500,
88177,46.47055,30.72666,502,
88177,46.47055,30.72666,504,
88177,46.470551,30.726662,506,
88177,46.47055,30.72666,511,
88177,46.47055,30.72666,513,
88177,46.47058,30.72662,515,
88177,46.47075,30.72691,517,
88177,46.47082,30.72702,519,
88177,46.47092,30.72717,521,
88177,46.47103,30.72732,523,
88177,46.47118,30.72739,525,
88177,46.47142,30.72749,527,
88177,46.47155,30.72754,529,
88177,46.4718,30.72762,531,
88177,46.47189,30.72767,533,
88177,46.47193,30.72769,535,
88177,46.47197,30.72773,537,
88177,46.47202,30.72784,539,
88177,46.47204,30.72788,541,
88177,46.47206,30.72792,543,
88177,46.47206,30.72803,545,
88177,46.47204,30.72814,547,
88177,46.47202,30.72848,549,
88177,46.47202,30.72872,551,
88177,46.472,30.72885,553,
88177,46.47193,30.72975,555,
88177,46.47188,30.73048,557,
88177,46.4718,30.73047,559,
88177,46.4718,30.73047,561,
88177,46.4718,30.730467,563,
88177,46.4718,30.73047,568,
88177,46.4718,30.73047,570,
88177,46.47188,30.73048,572,
88177,46.47187,30.73056,574,
88177,46.47185,30.73088,576,
88177,46.4718,30.73125,578,
88177,46.4718,30.7314,580,
88177,46.47178,30.73161,582,
88177,46.47178,30.73185,584,
88177,46.47176,30.73198,586,
88177,46.47174,30.7323,588,
88177,46.47172,30.73262,590,
88177,46.47172,30.73282,592,
88177,46.47167,30.73329,594,
88177,46.47161,30.73404,596,
88177,46.47159,30.73449,598,
88177,46.47155,30.73481,600,
88177,46.47152,30.7352,602,
88177,46.47152,30.73524,604,
88177,46.4715,30.73539,606,
88177,46.4715,30.73554,608,
88177,46.47148,30.73563,610,
88177,46.47148,30.73584,612,
88177,46.47146,30.73614,614,
88177,46.4714,30.73698,616,
88177,46.47137,30.73713,618,
88177,46.47135,30.73756,620,
88177,46.47131,30.73799,622,
88177,46.47125,30.7388,624,
88177,46.47122,30.73902,626,
88177,46.47122,30.73923,628,
88177,46.47118,30.73961,630,
88177,46.47111,30.7396,632,
88177,46.47111,30.7396,634,
88177,46.471107,30.739599,636,
88177,46.47111,30.7396,641,
88177,46.47111,30.7396,643,
88177,46.47118,30.73961,645,
88177,46.47118,30.73962,647,
88177,46.47118,30.73975,649,
88177,46.47116,30.74007,651,
88177,46.47107,30.74112,653,
88177,46.47103,30.74174,655,
88177,46.47099,30.74228,657,
88177,46.47097,30.74236,659,
88177,46.47094,30.74273,661,
88177,46.47092,30.74305,663,
88177,46.47088,30.74339,665,
88177,46.47086,30.74369,667,
88177,46.47084,30.74397,669,
88177,46.47084,30.74406,671,
88177,46.47082,30.74425,673,
88177,46.47079,30.74453,675,
88177,46.47079,30.74457,677,
88177,46.47077,30.74481,679,
88177,46.47077,30.74485,681,
88177,46.47077,30.74498,683,
88177,46.47075,30.74535,685,
88177,46.47069,30.74653,687,
88177,46.47067,30.74689,689,
88177,46.47064,30.74722,691,
88177,46.47055,30.74721,693,
88177,46.47056,30.74721,695,
88177,46.470555,30.747205,697,
88177,46.47056,30.74721,702,
88177,46.47056,30.74721,704,
88177,46.47065,30.74722,706,
88177,46.47063,30.74745,708,
88177,46.47053,30.74891,710,
88177,46.4705,30.74919,712,
88177,46.47048,30.74951,714,
88177,46.47048,30.74955,716,
88177,46.47046,30.74977,718,
88177,46.47044,30.75005,720,
88177,46.47042,30.7503,722,
88177,46.4704,30.7506,724,
88177,46.47035,30.75093,726,
88177,46.47035,30.75118,728,
88177,46.47033,30.75146,730,
88177,46.47031,30.75174,732,
88177,46.47024,30.75173,734,
88177,46.47024,30.75165,736,
88177,46.47023,30.75165,738,
88177,46.470234,30.75165,740,
88177,46.47023,30.75165,745,
88177,46.47023,30.75165,747,
