stop_id,stop_name,stop_lat,stop_lon,stop_desc
702437,вул. Пантелеймонівська,46.470226,30.738741,
702188,вул. Європейська,46.475855,30.73717,
702454,вул. Академіка Корольова,46.416573729420016,30.72013914585114,
702204,пл. Соборна,46.484522,30.730932,
702446,вул. Добровольців,46.43881806493091,30.75035691261292,
702488,10-й квартал,46.426920545212866,30.70937812328339,
702490,вул. Героїв Крут,46.432396,30.71747,
702472,вул. Старопортофранківська,46.47375247058086,30.725020766258243,
702482,"завод ""Нептун""",46.484546448119666,30.664531588554386,
702209,вул. Європейська,46.475574,30.738395,
702211,вул. Канатна,46.474884,30.748079,
702502,вул. Космонавтів,46.436657,30.723385,
702516,Морвокзал,46.489382,30.742542,
702206,пл. Менделе Мойхер-Сфоріма,46.4790684581251,30.723770856857303,
702501,Куликове поле,46.467139,30.746092,
702526,вул. Ніни Строкатої,46.480173,30.744486,
702356,ж/м Райдужний,46.401512,30.709671,
702511,«КДЦ №6»,46.44707603381121,30.74305593967438,
702354,вул. Сім’ї Глодан,46.398034781522846,30.714463591575626,
702523,Війсковий узвіз,46.49118726335,30.737755894660953,
702379,вул. Івана та Юрія Лип,46.438564,30.712448,
702391,пр. Князя Ярослава Мудрого,46.39726527161941,30.709045529365543,
702524,Морвокзал,46.488584,30.743071,
702395,"Ринок ""Південний""",46.395504,30.723911,
702528,2-а станція Великого Фонтану,46.453577286975325,30.743882060050968,
702411,5-а станція Великого Фонтану,46.437934,30.746774,
702540,вул. Рачкова,46.487557,30.699744,12
702416,вул. Довженка,46.454071,30.752865,
702375,вул. Ольги Благовидової,46.447821,30.691802,
702418,Політехнічний інститут,46.46095,30.750207,
702443,пров. Шампанський,46.45092735308209,30.754986405372623,9-
702458,Магазин,46.403198,30.722109,
702381,вул. Космонавтів,46.434525,30.721466,
702475,Автовокзал,46.476308938028595,30.707672238349918,
702489,вул. Євгена Танцюри,46.42967147668638,30.713428258895878,
702394,пл. Незалежності,46.398664,30.722535,
702185,ЦПКіВ ім. Тараса Шевченка,46.47463,30.75391,
702515,пл. Митна,46.485444,30.746791,
702517,Війсковий узвіз,46.491445788147146,30.73633968830109,
702193,пл. Соборна,46.485144,30.730991,
702397,"ТЦ ""Таіровський""",46.389805,30.723166,
702522,вул. Торгова,46.492860266353055,30.73308885097504,
702383,пл. Трибуни Героїв,46.42918711575825,30.727906823158268,
702402,Дитяча поліклініка,46.410931,30.720266,
702408,сквер Героїв Прикордонників,46.43708424999919,30.731441974639893,
702195,Національна наукова бібліотека,46.490604,30.726287,
702210,вул. Італійська,46.475293,30.742297,
702444,Палац спорту,46.445394230287164,30.758264064788822,
702387,Шкільний аеродром,46.411728,30.712458,
702399,пл. Незалежності,46.399979,30.723331,
702445,пл. 10 Квітня,46.44008974059751,30.755753517150882,
702406,пл. Трибуни Героїв,46.43066976425814,30.72858810424805,
702414,Палац спорту,46.44673228478528,30.7580441236496,
702447,сквер Героїв-льотчиків,46.437649871594374,30.74484765529633,
702432,вул. Новосельського,46.488467,30.720098,
702477,вул. Саймона Літмана,46.479766627773685,30.69089770317078,
702491,вул. Академіка Філатова,46.435215,30.721609,
702509,4-а станція Великого Фонтану,46.443421,30.743163,
702532,вул. Кіри Муратової,46.482151,30.728638,
801861,Таврія В,46.598207315109065,30.805846452713016,1
801862,Таврія В,46.59814465398097,30.80598056316376,1-
702560,пл. Тираспольська,46.4801692718048,30.730953812599186,15-
702213,ЦПКіВ ім. Тараса Шевченка,46.474488,30.753932,
702450,«Одеський ліцей №6»,46.437284,30.732631,
702460,Суперфосфатний завод,46.47358622215161,30.673066377639774,
801871,пл. Тираспольська,46.47964472578217,30.730980634689335,21-
702469,вул. Скісна,46.47474625615495,30.711920857429508,
801859,вул. Глаубермана,46.56258937209552,30.774469971656803,
801873,Підстанція,46.34654990280985,30.678999423980716,27-
702483,"завод ""Мікрон""",46.484908426681415,30.662739872932438,
801874,Любительський причал,46.342394945344225,30.673806667327884,27
801886,4-а станція Люстдорфської дороги,46.417775658353236,30.726206302642822,26-
801883,вул. Кіри Муратової,46.478743381369654,30.72227954864502,
801875,Любительський причал,46.342220889432596,30.6736296415329,27-
702487,вул. Інглезі,46.424657578154445,30.706062912940983,
801879,Рибний порт,46.33479522227372,30.666591525077823,27-
702191,пл. Менделе Мойхер-Сфоріма,46.479363980762926,30.72406053543091,
702527,1-а станція Великого Фонтану,46.460861,30.745152,
702544,Хлібозавод №3,46.491135,30.695315,12
702192,вул. Кіри Муратової,46.48259,30.728924,
702205,вул. Кіри Муратової,46.482214,30.727953,
702200,вул. Олексія Маркевича,46.490822,30.723115,
702367,СДЮШОР «Крижинка»,46.437314,30.715853,
702349,вул. Архітекторська,46.38599144758627,30.722719430923465,
702350,ж/м Південний,46.39263318468419,30.72412490844727,
702392,вул. Сім’ї Глодан,46.397949692019075,30.71564376354218,
702351,"Ринок ""Південний""",46.395348,30.72419,
702372,вул. Платанова,46.450116,30.686966,
702357,вул. Левітана,46.406452,30.710876,
702373,вул. Святослава Ріхтера,46.451202,30.68366,
702374,вул. Платанова,46.449851,30.686897,
702360,"ТРЦ ""Сіті Центр""",46.416303754046744,30.71438312530518,
702409,вул. Віталія Гуляєва,46.43657777339239,30.736924409866337,
702410,вул. Суднобудівна,46.4362117764181,30.74182748794556,
702423,вул. Велика Арнаутська,46.471698,30.741313,
702424,вул. Успенська,46.475952,30.741922,
702362,"Завод ""Промзв'язок""",46.422501,30.719376,
702377,пл. Бориса Дерев'янка,46.442101,30.703318,
702364,пл. Трибуни Героїв,46.430048609695795,30.72808921337128,
702451,1-а станція Люстдорфської дороги,46.43679958854409,30.726302862167362,
702378,вул. Іцкаха Рабіна,46.441335,30.706194,
702453,вул. Інглезі,46.417591,30.718023,
702380,СДЮШОР «Крижинка»,46.436947,30.716242,
702393,"Магазин ""Океан""",46.398337,30.719954,
702401,вул. Левітана,46.406844,30.7214,
702382,вул. Варненська,46.432396,30.724375,
702494,вул. Троїцька,46.476578,30.747842,
702384,3-я станція Люстдорфської дороги,46.42634002177239,30.724178552627567,
702386,"ТРЦ ""Сіті Центр""",46.41590063764535,30.71391105651856,
702403,Одеський ліцей №63,46.4131490112429,30.720289349555973,
702388,Авіазавод,46.409197,30.711535,
702420,вул. Михайла Омеляновича-Павленка,46.467056,30.749112,
702398,вул. Архітекторська,46.38605805397539,30.722483396530155,
702495,вул. Святослава Караванського,46.479778,30.74832,
702404,вул. Академіка Корольова,46.41677343637032,30.720064043998722,
702497,вул. Віталія Боровика,46.481619,30.748511,
702421,Куликове поле,46.467854,30.745441,
702405,Південно-Західний масив,46.434341,30.727358,
702436,вул. Успенська,46.474567,30.739408,
702525,пл. Митна,46.485513,30.746362,
702407,1-а станція Люстдорфської дороги,46.43750569409824,30.726909041404728,
702412,вул. Тіниста,46.43954632468552,30.75380623340607,
702368,вул. Івана та Юрія Лип,46.439114,30.711634,
702452,Південно-Західний масив,46.433978,30.727106,
702413,Парк Перемоги,46.44111741029474,30.757250189781193,
702415,пров. Шампанський,46.451522398278016,30.754664540290836,9
702385,"завод ""Промзв'язок""",46.421995,30.718308,
702417,пр. Лесі Українки,46.45758,30.750412,
702419,вул. Пироговська,46.463118937512256,30.750378370285038,
702459,пл. Незалежності,46.39979573450765,30.723175406455997,
702422,Залізничний вокзал,46.46879065997577,30.741435885429386,
702390,ж/м Райдужний,46.401111,30.70882,
702425,вул. Святослава Караванського,46.479843,30.742517,
